n,mu,sigma,best_beta
256,0,20,0.1705436011948745
256,0,30,0.15988462612019483
256,0,50,0.053294875373398276
256,0,100,0.021317950149359312
256,0,150,0.06395385044807793
256,0,200,0.12790770089615586
256,10,10,0.33042822731506927
256,10,20,0.2771333519416711
256,10,30,0.20252052641891344
256,10,50,0.13856667597083552
256,10,100,0.021317950149359312
256,10,150,0.06395385044807793
256,10,200,0.10658975074679655
256,20,10,0.6075615792567404
256,20,20,0.39438207776314727
256,20,30,0.27713335194167105
256,20,50,0.1918615513442338
256,20,100,0.08527180059743725
256,20,150,0.0959307756721169
256,20,200,0.07461282552275758
256,30,10,0.7354692801528963
256,30,20,0.4903128534352642
256,30,30,0.3837231026884676
256,30,50,0.22383847656827277
256,30,100,0.1705436011948745
256,30,150,0.2131795014935931
256,30,200,0.10658975074679655
256,50,10,0.7461282552275759
256,50,20,0.6715154297048184
256,50,30,0.5329487537339828
256,50,50,0.3837231026884676
256,50,100,0.2344974516429524
256,50,150,0.1918615513442338
256,50,200,0.1172487258214762
256,100,10,0.7461282552275759
256,100,20,0.7461282552275759
256,100,30,0.7461282552275759
256,100,50,0.6182205543314201
256,100,100,0.39438207776314727
256,100,150,0.2984513020910303
256,100,200,0.24515642671763205
256,150,10,0.7461282552275759
256,150,20,0.7461282552275759
256,150,30,0.7461282552275759
256,150,50,0.7461282552275759
256,150,100,0.4476769531365455
256,150,150,0.3837231026884676
256,150,200,0.24515642671763205
256,200,10,0.7461282552275759
256,200,20,0.7461282552275759
256,200,30,0.7461282552275759
256,200,50,0.7461282552275759
256,200,100,0.6288795294060996
256,200,150,0.4050410528378269
256,200,200,0.41570002791250654
512,0,10,0.1172487258214762
512,0,20,0.12790770089615586
512,0,30,0.10658975074679655
512,0,50,0.021317950149359312
512,0,100,0.08527180059743725
512,0,150,0.07461282552275758
512,0,200,0.0959307756721169
512,10,10,0.37306412761378793
512,10,20,0.18120257626955413
512,10,30,0.1705436011948745
512,10,50,0.2131795014935931
512,10,100,0.15988462612019483
512,10,150,0.0959307756721169
512,10,200,0.08527180059743725
512,20,10,0.5329487537339828
512,20,20,0.33042822731506927
512,20,30,0.3304282273150693
512,20,50,0.1172487258214762
512,20,100,0.1172487258214762
512,20,150,0.0959307756721169
512,20,200,0.14922565104551516
512,30,10,0.7248103050782164
512,30,20,0.4263590029871862
512,30,30,0.30911027716571
512,30,50,0.15988462612019483
512,30,100,0.2131795014935931
512,30,150,0.12790770089615586
512,30,200,0.15988462612019483
512,50,10,0.7461282552275759
512,50,20,0.682174404779498
512,50,30,0.5116308035846234
512,50,50,0.34108720238974893
512,50,100,0.33042822731506927
512,50,150,0.2344974516429524
512,50,200,0.07461282552275758
512,100,10,0.7461282552275759
512,100,20,0.7461282552275759
512,100,30,0.735469280152896
512,100,50,0.5329487537339828
512,100,100,0.30911027716571005
512,100,150,0.2877923270163507
512,100,200,0.1918615513442338
512,150,10,0.7461282552275759
512,150,20,0.7461282552275759
512,150,30,0.7461282552275759
512,150,50,0.7354692801528963
512,150,100,0.41570002791250654
512,150,150,0.37306412761378793
512,150,200,0.24515642671763205
512,200,10,0.7461282552275759
512,200,20,0.7461282552275759
512,200,30,0.7461282552275759
512,200,50,0.7461282552275759
512,200,100,0.5755846540327013
512,200,150,0.4370179780618659
512,200,200,0.3197692522403896
1024,0,10,0.13856667597083552
1024,0,20,0.042635900298718624
1024,0,30,0.042635900298718624
1024,0,50,0.18120257626955413
1024,0,100,0.0959307756721169
1024,0,150,0.06395385044807793
1024,0,200,0.06395385044807793
1024,10,10,0.28779232701635066
1024,10,20,0.23449745164295238
1024,10,30,0.1918615513442338
1024,10,50,0.13856667597083552
1024,10,100,0.12790770089615586
1024,10,150,0.10658975074679655
1024,10,200,0.1172487258214762
1024,20,10,0.5649256789580217
1024,20,20,0.33042822731506927
1024,20,30,0.30911027716571
1024,20,50,0.14922565104551516
1024,20,100,0.12790770089615586
1024,20,150,0.042635900298718624
1024,20,200,0.13856667597083552
1024,30,10,0.7141513300035369
1024,30,20,0.4689949032859048
1024,30,30,0.35174617746442866
1024,30,50,0.24515642671763205
1024,30,100,0.0959307756721169
1024,30,150,0.12790770089615586
1024,30,200,0.0959307756721169
1024,50,10,0.7461282552275759
1024,50,20,0.6715154297048183
1024,50,30,0.5329487537339828
1024,50,50,0.3624051525391083
1024,50,100,0.2131795014935931
1024,50,150,0.20252052641891344
1024,50,200,0.1705436011948745
1024,100,10,0.7461282552275759
1024,100,20,0.7461282552275759
1024,100,30,0.7461282552275759
1024,100,50,0.4903128534352642
1024,100,100,0.2664743768669914
1024,100,150,0.2344974516429524
1024,100,200,0.1918615513442338
1024,150,10,0.7461282552275759
1024,150,20,0.7461282552275759
1024,150,30,0.7461282552275759
1024,150,50,0.7141513300035369
1024,150,100,0.4370179780618659
1024,150,150,0.2877923270163507
1024,150,200,0.2984513020910303
1024,200,10,0.7461282552275759
1024,200,20,0.7461282552275759
1024,200,30,0.7461282552275759
1024,200,50,0.7461282552275759
1024,200,100,0.5222897786593033
1024,200,150,0.3837231026884676
1024,200,200,0.3517461774644286
